image,label,text_label,kfold
../datasets/original/other/other_001094.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_006578.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001853.jpg,6,lps acanthastrea,0
../datasets/original/lps euphyllia/lpseuphyllia_000999.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_002528.jpg,2,sps acropora,0
../datasets/original/other/other_002144.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000999.jpg,0,sps montipora,0
../datasets/original/other/other_000357.jpg,1,other,0
../datasets/original/lps euphyllia/lpseuphyllia_001689.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_004405.jpg,2,sps acropora,0
../datasets/original/other/other_000919.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_006111.jpg,2,sps acropora,0
../datasets/original/other/other_001585.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_001409.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001591.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001534.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001179.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001920.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003719.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005172.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_002956.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001391.jpg,3,zoa,0
../datasets/original/sps montipora/spsmontipora_001246.jpg,0,sps montipora,0
../datasets/original/zoa/zoa_001370.jpg,3,zoa,0
../datasets/original/other/other_001061.jpg,1,other,0
../datasets/original/other/other_001350.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_003416.jpg,2,sps acropora,0
../datasets/original/other/other_000201.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_002836.jpg,2,sps acropora,0
../datasets/original/other/other_001849.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_001549.jpg,5,lps chalice,0
../datasets/original/lps euphyllia/lpseuphyllia_001724.jpg,4,lps euphyllia,0
../datasets/original/lps chalice/lpschalice_002328.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_002533.jpg,2,sps acropora,0
../datasets/original/other/other_000636.jpg,1,other,0
../datasets/original/other/other_003197.jpg,1,other,0
../datasets/original/zoa/zoa_001159.jpg,3,zoa,0
../datasets/original/lps chalice/lpschalice_001929.jpg,5,lps chalice,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001926.jpg,6,lps acanthastrea,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001280.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_005681.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_004647.jpg,2,sps acropora,0
../datasets/original/other/other_000623.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_002713.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000976.jpg,0,sps montipora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000077.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_000068.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_001274.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_002650.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_000272.jpg,2,sps acropora,0
../datasets/original/other/other_002174.jpg,1,other,0
../datasets/original/lps euphyllia/lpseuphyllia_001328.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_000240.jpg,2,sps acropora,0
../datasets/original/other/other_001957.jpg,1,other,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000608.jpg,6,lps acanthastrea,0
../datasets/original/sps montipora/spsmontipora_001686.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_005454.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001690.jpg,3,zoa,0
../datasets/original/other/other_002343.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_001865.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005355.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000713.jpg,6,lps acanthastrea,0
../datasets/original/zoa/zoa_000749.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_005967.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_006296.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_001767.jpg,0,sps montipora,0
../datasets/original/lps euphyllia/lpseuphyllia_000009.jpg,4,lps euphyllia,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000501.jpg,6,lps acanthastrea,0
../datasets/original/lps chalice/lpschalice_001679.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_006542.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001281.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_000861.jpg,2,sps acropora,0
../datasets/original/other/other_001771.jpg,1,other,0
../datasets/original/other/other_001963.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_005971.jpg,2,sps acropora,0
../datasets/original/other/other_001698.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_004264.jpg,2,sps acropora,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001606.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_001709.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000689.jpg,0,sps montipora,0
../datasets/original/lps euphyllia/lpseuphyllia_000219.jpg,4,lps euphyllia,0
../datasets/original/lps chalice/lpschalice_001240.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_004825.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000321.jpg,0,sps montipora,0
../datasets/original/other/other_003398.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_006235.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_000320.jpg,4,lps euphyllia,0
../datasets/original/sps acropora/spsacropora_002502.jpg,2,sps acropora,0
../datasets/original/other/other_001355.jpg,1,other,0
../datasets/original/other/other_003718.jpg,1,other,0
../datasets/original/zoa/zoa_002342.jpg,3,zoa,0
../datasets/original/lps acanthastrea/lpsacanthastrea_000228.jpg,6,lps acanthastrea,0
../datasets/original/sps montipora/spsmontipora_001008.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_000151.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001013.jpg,4,lps euphyllia,0
../datasets/original/other/other_002089.jpg,1,other,0
../datasets/original/other/other_001506.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_001792.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_001973.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_001439.jpg,5,lps chalice,0
../datasets/original/sps montipora/spsmontipora_001580.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_006112.jpg,2,sps acropora,0
../datasets/original/sps montipora/spsmontipora_000091.jpg,0,sps montipora,0
../datasets/original/sps acropora/spsacropora_005936.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_005005.jpg,2,sps acropora,0
../datasets/original/other/other_000337.jpg,1,other,0
../datasets/original/other/other_001904.jpg,1,other,0
../datasets/original/sps acropora/spsacropora_005907.jpg,2,sps acropora,0
../datasets/original/lps chalice/lpschalice_001149.jpg,5,lps chalice,0
../datasets/original/zoa/zoa_001446.jpg,3,zoa,0
../datasets/original/sps acropora/spsacropora_000826.jpg,2,sps acropora,0
../datasets/original/zoa/zoa_001105.jpg,3,zoa,0
../datasets/original/zoa/zoa_002016.jpg,3,zoa,0
../datasets/original/lps acanthastrea/lpsacanthastrea_001514.jpg,6,lps acanthastrea,0
../datasets/original/sps acropora/spsacropora_003580.jpg,2,sps acropora,0
../datasets/original/other/other_003309.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000042.jpg,0,sps montipora,0
../datasets/original/lps chalice/lpschalice_001380.jpg,5,lps chalice,0
../datasets/original/lps euphyllia/lpseuphyllia_000610.jpg,4,lps euphyllia,0
../datasets/original/other/other_002180.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_002172.jpg,0,sps montipora,0
../datasets/original/other/other_003296.jpg,1,other,0
../datasets/original/lps chalice/lpschalice_000895.jpg,5,lps chalice,0
../datasets/original/sps acropora/spsacropora_002764.jpg,2,sps acropora,0
../datasets/original/sps acropora/spsacropora_003439.jpg,2,sps acropora,0
../datasets/original/lps euphyllia/lpseuphyllia_001269.jpg,4,lps euphyllia,0
../datasets/original/lps chalice/lpschalice_001477.jpg,5,lps chalice,0
../datasets/original/other/other_000054.jpg,1,other,0
../datasets/original/sps montipora/spsmontipora_000664.jpg,0,sps montipora,0
../datasets/original/other/other_002608.jpg,1,other,0
